"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros","+/-","3PTM","FTM","FT-","PTS","OREB","DREB","AST","ST","BLK","TO","PF","TF","2DO","3D"
"*04kpp*","Tyler Cavanaugh","(N/A)","F,C,Flx","611","FA","31","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*05qzv*","Ahmad Caver","(N/A)","G,Flx","612","FA","29","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*06cnb*","Malcolm Cazalon","(N/A)","G,Flx","613","FA","24","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*03woy*","Coty Clarke","BOS","F,Flx","630","FA","33","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*06ho6*","Yuri Collins","(N/A)","G,Flx","637","FA","24","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*04is9*","Charles Cooke","MIA","G,Flx","648","FA","31","@SA Thu 9:30PM","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*06fzs*","Javonte Cooke","POR","G,Flx","649","FA","26","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0723e*","Steven Crowl","(N/A)","F,Flx","670","FA","24","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*05xni*","Jalen Crutcher","(N/A)","G,Flx","671","FA","26","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*051om*","Jarrett Culver","(N/A)","G,Flx","675","FA","26","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*06hf9*","Antoine Davis","(N/A)","G,Flx","687","FA","27","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*03kqm*","Andre Dawkins","BOS","G,Flx","696","FA","34","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*038xl*","Dewayne Dedmon","(N/A)","C,Flx","703","FA","36","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*04xhx*","Angel Delgado","(N/A)","C,Flx","706","FA","30","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*038og*","Matthew Dellavedova","(N/A)","G,Flx","707","FA","35","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*04z79*","Cody Demps","SAC","G,Flx","709","FA","31","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*05qsu*","Devon Dotson","(N/A)","G,Flx","727","FA","26","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*04ik2*","PJ Dozier","(N/A)","G,Flx","731","FA","29","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*06gnm*","Henri Drell","(N/A)","F,Flx","732","FA","25","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*038xh*","Larry Drew II","NO","G,Flx","733","FA","35","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*06mo6*","Sean East","(N/A)","G,Flx","742","FA","25","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*051pd*","Carsen Edwards","(N/A)","G,Flx","748","FA","27","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*06prk*","Tristan Enaruna","(N/A)","F,Flx","762","FA","24","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*06mnz*","Allen Flanigan","(N/A)","G,Flx","791","FA","24","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*06fwl*","Alex Fudge","(N/A)","F,Flx","815","FA","22","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*07241*","Dawson Garcia","(N/A)","F,C,Flx","827","FA","24","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*05ujx*","RaiQuan Gray","(N/A)","F,Flx","856","FA","26","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*03r7p*","Willy Hernangomez","(N/A)","C,Flx","912","FA","31","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*03r7i*","Rondae Hollis-Jefferson","(N/A)","F,Flx","927","FA","30","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*04qsq*","Alize Johnson","(N/A)","F,Flx","986","FA","29","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*0722s*","Chaney Johnson","(N/A)","F,Flx","989","FA","23","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*042nr*","Damian Jones","(N/A)","C,Flx","1006","FA","30","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*04exn*","Alpha Kaba","ATL","F,Flx","1019","FA","29","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*05ujy*","Georgios Kalaitzakis","(N/A)","F,Flx","1022","FA","26","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*059qc*","Louis King","(N/A)","F,Flx","1039","FA","26","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*05ujv*","Balsa Koprivica","(N/A)","C,Flx","1052","FA","25","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*04qsv*","Arnoldas Kulboka","(N/A)","F,Flx","1057","FA","27","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*04uq4*","Jordan Loyd","(N/A)","G,Flx","1102","FA","32","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*04xhr*","J.P. Macura","CLE","G,Flx","1113","FA","30","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*0728o*","Gabe Madsen","(N/A)","G,Flx","1115","FA","24","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*05qu3*","Nico Mannion","(N/A)","G,Flx","1126","FA","24","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*06yb4*","Cameron Matthews","(N/A)","F,Flx","1147","FA","23","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*05qtu*","Skylar Mays","(N/A)","G,Flx","1151","FA","28","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*04lci*","Erik McCree","UTA","F,Flx","1160","FA","31","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*06667*","Aminu Mohammed","(N/A)","G,Flx","1207","FA","23","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*027oy*","Marcus Morris","(N/A)","F,Flx","1229","FA","36","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
"*06cp3*","Miles Norris","(N/A)","F,Flx","1264","FA","25","","0","0","0%","0%","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0"
