"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros","+/-","3PTM","FTM","FT-","PTS","OREB","DREB","AST","ST","BLK","TO","PF","TF","2DO","3D"
"*05uus*","Austin Reaves","LAL","G,F,Flx","1","OLS","27","","366.5","73.3","100%","0%","3.0","10.4","1.2","34.2","0.4","5.2","10.0","1.8","0.0","3.8","2.0","0.00","0.6","0.0"
"*06cch*","Victor Wembanyama","SA","C,Flx","2","BLIZZ","21","MIA Thu 9:30PM","342","85.5","100%","0%","1.0","8.0","2.0","31.0","1.8","12.0","2.8","1.5","4.8","1.5","3.5","0.00","1.0","0.0"
"*04qro*","Shai Gilgeous-Alexander","OKC","G,Flx","3","VITAO","27","WAS Thu 9:00PM","336.5","67.3","100%","0%","1.4","8.2","1.4","34.8","0.2","6.0","5.4","1.4","1.4","2.4","2.0","0.00","0.0","0.0"
"*031m2*","Giannis Antetokounmpo","MIL","F,C,Flx","4","AQUA","30","GS Thu 9:00PM","308","77","100%","0%","1.0","6.8","3.8","36.3","4.0","10.0","7.0","0.8","1.3","3.3","2.5","0.00","0.8","0.0"
"*05qsq*","Tyrese Maxey","PHI","G,Flx","5","ANT","24","","304","76","100%","0%","4.5","10.0","1.5","37.5","0.3","3.5","8.3","1.0","0.8","2.0","3.0","0.25","0.3","0.0"
"*01enh*","Stephen Curry","GS","G,Flx","6","VIVA","37","@MIL Thu 9:00PM","294","58.8","99%","-0.1%","4.4","5.0","0.0","27.0","0.2","3.6","5.0","1.8","0.8","2.2","1.6","0.00","0.0","0.0"
"*03e75*","Nikola Jokic","DEN","C,Flx","7","Otako","30","","292.5","73.12","100%","0%","0.8","3.5","0.3","20.3","2.5","12.0","11.3","2.0","0.5","3.0","3.5","0.00","0.0","1.0"
"*03ajv*","Julius Randle","MIN","F,Flx","8","Otako","30","","278","55.6","100%","0%","2.6","6.0","1.4","26.6","1.0","5.4","5.4","1.2","0.4","2.2","2.2","0.00","0.0","0.0"
"*04azw*","Lauri Markkanen","UTA","F,Flx","9","SFC","28","","277","69.25","99%","+0.3%","4.0","8.0","0.8","34.0","2.3","5.0","2.8","0.8","0.8","1.0","1.3","0.00","0.3","0.0"
"*05uid*","Evan Mobley","CLE","F,C,Flx","10","SAN","24","","271.5","54.3","100%","0%","1.8","4.6","1.8","18.4","2.0","7.2","4.6","1.6","2.0","2.6","2.6","0.00","0.4","0.0"
"*05qto*","LaMelo Ball","CHA","G,Flx","11","Otako","24","ORL Thu 8:00PM","259.5","64.88","100%","0%","4.3","5.0","1.3","26.3","1.8","6.5","9.5","1.8","0.3","4.0","3.8","0.25","0.3","0.3"
"*02nf1*","Anthony Davis","DAL","F,C,Flx","12","VIVA","32","","252","50.4","100%","0%","0.6","4.6","1.6","20.8","3.4","6.8","2.2","1.6","1.2","2.2","2.6","0.00","0.8","0.0"
"*042nm*","Pascal Siakam","IND","F,Flx","13","KOW","31","","246","61.5","99%","+0.1%","2.5","5.3","4.3","26.3","2.0","9.0","5.3","1.5","0.3","2.0","3.0","0.00","0.8","0.0"
"*06210*","Paolo Banchero","ORL","F,Flx","14","KOW","22","@CHA Thu 8:00PM","245.5","49.1","100%","0%","0.6","8.4","2.8","23.0","1.2","7.8","3.0","0.6","1.4","2.8","2.4","0.20","0.6","0.0"
"*05uiq*","Alperen Sengun","HOU","F,C,Flx","15","KNTC","23","","243.5","60.88","100%","0%","2.0","6.8","1.8","23.8","2.3","5.8","7.3","2.0","0.8","3.0","2.8","0.00","0.3","0.0"
"*05uib*","Cade Cunningham","DET","G,Flx","17","PERDI","24","","235.5","47.1","100%","0%","1.6","5.4","1.2","22.2","1.2","4.4","8.2","0.8","1.2","4.4","3.6","0.20","0.4","0.0"
"*03nwm*","Devin Booker","PHO","G,F,Flx","16","MEME","28","","235.5","47.1","99%","0%","2.6","8.2","1.8","29.2","1.6","2.4","6.0","0.4","0.4","4.6","2.8","0.20","0.2","0.0"
"*027pe*","Jimmy Butler","GS","F,Flx","18","MÃE","36","@MIL Thu 9:00PM","234","46.8","98%","-0.1%","1.6","7.4","1.0","21.4","1.6","3.0","4.8","1.0","0.0","1.6","1.2","0.00","0.0","0.0"
"*05uie*","Scottie Barnes","TOR","F,Flx","19","RATS","24","","232.5","46.5","100%","0%","2.2","3.2","0.8","22.2","1.2","4.8","4.4","1.4","0.8","2.2","3.8","0.00","0.2","0.0"
"*01eo9*","Jrue Holiday","POR","G,Flx","20","FAV","35","","232","46.4","97%","+1%","2.6","2.2","0.4","19.6","1.2","4.2","7.8","1.4","0.4","3.2","2.6","0.00","0.2","0.0"
"*04qsa*","Jalen Brunson","NY","G,Flx","21","KOW","29","","227","56.75","100%","0%","2.5","7.8","1.0","31.8","0.5","3.5","5.0","1.3","0.0","2.0","2.5","0.00","0.0","0.0"
"*04ewt*","Derrick White","BOS","G,Flx","22","ANT","31","","223","44.6","100%","-0.1%","2.8","3.0","0.2","17.0","0.6","3.2","4.4","1.4","1.0","1.0","2.0","0.20","0.0","0.0"
"*051oi*","Ja Morant","MEM","G,Flx","23","Otako","26","","222.5","44.5","99%","0%","1.0","6.4","0.2","23.4","0.4","3.4","6.6","1.0","0.0","2.8","1.6","0.20","0.0","0.0"
"*04ewe*","Donovan Mitchell","CLE","G,Flx","24","LUK","29","","221.5","44.3","100%","0%","3.2","5.2","1.8","28.0","0.0","2.4","4.4","1.2","0.4","3.8","1.8","0.00","0.0","0.0"
"*05qtj*","Deni Avdija","POR","G,F,Flx","25","OLS","24","","214","42.8","100%","0%","2.4","5.0","1.2","22.6","1.2","5.2","4.2","0.6","1.0","3.8","2.6","0.00","0.0","0.0"
"*027p0*","Nikola Vucevic","CHI","C,Flx","28","KOW","35","","214","53.5","100%","0%","1.8","2.5","0.0","18.3","3.0","10.3","5.0","1.0","0.3","2.0","2.3","0.00","0.8","0.0"
"*01eon*","DeMar DeRozan","SAC","F,Flx","26","BLIZZ","36","","214","42.8","100%","0%","0.6","4.0","1.4","19.0","0.6","3.8","5.2","1.4","0.2","1.0","1.4","0.00","0.0","0.0"
"*042n4*","Jamal Murray","DEN","G,Flx","27","MÃE","28","","214","53.5","99%","-0.1%","3.0","4.0","0.3","27.0","0.8","3.5","6.0","1.3","0.0","2.0","1.5","0.00","0.3","0.0"
"*03ams*","Zach LaVine","SAC","G,F,Flx","29","RATS","30","","210.5","42.1","98%","0%","3.2","4.8","0.2","29.2","0.2","2.8","1.6","0.4","0.2","2.2","1.8","0.00","0.0","0.0"
"*06211*","Chet Holmgren","OKC","F,C,Flx","30","SAN","23","WAS Thu 9:00PM","206.5","51.62","100%","0%","2.5","6.0","1.0","23.0","2.3","8.0","1.8","1.3","1.3","3.0","4.0","0.00","0.8","0.0"
"*03lls*","Jaylen Brown","BOS","G,F,Flx","31","FAV","29","","205.5","41.1","99%","-0.1%","3.0","5.0","1.6","26.8","0.4","5.2","3.8","0.4","0.4","3.6","4.2","0.20","0.0","0.0"
"*05qtt*","Onyeka Okongwu","ATL","C,Flx","33","VIVA","24","","205","41","99%","+0.5%","1.2","2.0","1.2","15.2","1.8","7.4","2.4","0.6","1.0","0.4","3.6","0.00","0.6","0.0"
"*05qu9*","Immanuel Quickley","TOR","G,Flx","34","OLS","26","","205","41","99%","0%","1.6","3.6","1.4","15.2","1.0","3.4","7.0","1.6","0.0","1.8","2.4","0.00","0.0","0.0"
"*06mkg*","Kyshawn George","WAS","G,F,Flx","32","ANT","21","@OKC Thu 9:00PM","205","51.25","95%","+0.7%","3.5","2.3","1.5","20.3","1.0","8.3","5.0","1.3","1.5","2.8","5.0","0.00","0.3","0.0"
"*03aq2*","Jerami Grant","POR","F,Flx","35","VITAO","31","","204.5","40.9","84%","+1.8%","2.8","6.4","1.0","21.6","1.0","1.6","1.4","1.4","0.6","1.4","3.2","0.00","0.0","0.0"
"*04qrk*","Trae Young","ATL","G,Flx","37","RATS","27","","203","40.6","100%","0%","1.0","6.4","1.4","17.8","0.0","2.0","7.8","0.8","0.2","2.0","1.8","0.20","0.4","0.0"
"*04qrr*","Michael Porter","BKN","F,Flx","36","MEME","27","","203","40.6","99%","-0.2%","3.2","1.2","0.6","21.6","0.8","5.4","3.2","0.6","0.2","1.8","2.2","0.00","0.0","0.0"
"*05uii*","Franz Wagner","ORL","F,Flx","38","PERDI","24","@CHA Thu 8:00PM","202.5","40.5","100%","0%","1.6","4.8","2.0","22.4","1.0","4.6","3.0","1.0","0.4","2.0","3.4","0.00","0.0","0.0"
"*06mjz*","Donovan Clingan","POR","C,Flx","39","Otako","21","","198","39.6","98%","+0.4%","0.8","1.6","0.2","10.4","4.6","4.4","2.4","1.0","1.6","0.8","2.8","0.00","0.2","0.0"
"*05qt1*","Payton Pritchard","BOS","G,Flx","41","FAV","27","","197.5","39.5","99%","-0.1%","1.4","2.4","0.8","14.6","1.4","3.8","6.0","1.2","0.0","1.2","2.2","0.00","0.4","0.0"
"*06v5k*","VJ Edgecombe","PHI","G,Flx","40","RATS","20","","197.5","49.38","95%","+0.3%","3.0","2.8","0.8","22.3","1.3","4.5","5.5","1.5","0.5","2.0","3.5","0.00","0.0","0.0"
"*04qrn*","Mikal Bridges","NY","G,F,Flx","42","KNTC","29","","197","49.25","100%","0%","2.3","2.8","0.3","18.0","1.8","5.0","4.5","1.5","0.8","0.8","3.0","0.00","0.3","0.0"
"*0621l*","Walker Kessler","UTA","C,Flx","44","LUK","24","","196","49","99%","+0.1%","1.5","3.5","1.5","17.0","4.8","5.5","3.5","1.5","2.3","3.3","4.5","0.00","0.5","0.0"
"*051ox*","Nickeil Alexander-Walker","ATL","G,Flx","43","OLS","27","","196","39.2","66%","+9.5%","2.2","2.4","0.4","16.2","0.8","2.0","3.2","1.4","1.0","1.0","1.2","0.00","0.0","0.0"
"*001aw*","Kevin Durant","HOU","G,F,Flx","45","VITAO","37","","195","48.75","99%","-0.1%","1.8","8.3","1.5","27.5","0.3","5.5","2.0","1.0","1.0","2.3","3.8","0.00","0.0","0.0"
"*01eo6*","James Harden","LAC","G,Flx","46","KNTC","36","","193.5","48.38","100%","0%","2.5","6.3","0.5","21.3","0.0","4.8","8.0","1.3","0.3","4.0","1.8","0.00","0.5","0.0"
"*06mju*","Alex Sarr","WAS","F,C,Flx","47","SFC","20","@OKC Thu 9:00PM","190.5","47.62","100%","+0.1%","1.0","2.5","0.5","19.5","2.0","6.8","4.5","0.8","2.0","3.0","2.0","0.00","0.5","0.0"
"*04kj6*","Luka Doncic","LAL","G,Flx","48","FAV","26","","187","93.5","100%","0%","3.5","11.5","3.0","46.0","0.5","11.0","8.5","1.0","0.5","3.0","2.5","0.00","1.0","0.0"
"*05qu0*","Jaden McDaniels","MIN","F,Flx","49","MEME","25","","187","37.4","94%","+1.3%","1.6","3.2","0.6","18.8","1.4","3.0","1.0","0.6","2.0","1.4","3.0","0.00","0.0","0.0"
"*05uig*","Josh Giddey","CHI","G,Flx","50","RATS","23","","186","46.5","100%","0%","1.5","5.0","2.0","19.5","1.3","7.3","7.8","0.5","0.5","4.0","2.0","0.00","0.8","0.0"
"*06cby*","Keyonte George","UTA","G,Flx","51","LUK","21","","185.5","46.38","96%","+1.4%","1.5","8.3","0.3","22.3","0.3","2.5","9.3","1.0","0.3","4.3","2.8","0.00","0.5","0.0"
"*0623e*","Collin Gillespie","PHO","G,Flx","52","FA","26","","185.5","37.1","38%","+16.8%","2.6","0.4","0.2","11.0","1.0","2.6","5.6","1.4","0.8","1.6","0.8","0.00","0.2","0.0"
"*05uj1*","Cameron Thomas","BKN","G,Flx","54","VIVA","24","","184.5","36.9","100%","0%","2.2","7.6","1.2","23.4","0.2","1.4","3.2","0.4","0.2","2.4","2.0","0.00","0.0","0.0"
"*042n1*","Brandon Ingram","TOR","F,Flx","53","FAV","28","","184.5","36.9","99%","0%","2.0","2.8","0.4","22.0","0.6","4.6","3.6","1.0","0.4","3.2","3.0","0.00","0.0","0.0"
"*04qrp*","Miles Bridges","CHA","F,Flx","55","ANT","27","ORL Thu 8:00PM","184","46","100%","0%","2.3","4.5","0.8","18.8","1.0","6.0","3.8","0.8","0.3","1.0","1.3","0.00","0.3","0.0"
"*06ccf*","Ausar Thompson","DET","F,Flx","56","KOW","22","","182","36.4","99%","-0.1%","0.4","2.2","1.4","13.8","2.2","5.2","4.0","1.0","0.6","1.0","3.6","0.20","0.4","0.0"
"*03ad3*","Karl-Anthony Towns","NY","F,C,Flx","57","LUK","29","","181","45.25","99%","-0.2%","1.8","5.8","1.0","17.0","3.3","10.3","2.0","0.8","1.0","3.5","4.0","0.00","0.8","0.0"
"*027oz*","Kawhi Leonard","LAC","F,Flx","58","VIVA","34","","180","45","98%","-0.1%","1.8","3.5","0.3","21.3","0.8","5.5","3.0","1.3","0.5","1.8","1.0","0.00","0.3","0.0"
"*03nwk*","Kelly Oubre Jr.","PHI","F,Flx","59","MÃE","29","","180","45","89%","+5.1%","2.3","4.0","0.3","17.8","1.8","4.8","1.8","1.0","1.0","0.8","1.8","0.00","0.5","0.0"
"*0621c*","Jalen Duren","DET","C,Flx","60","PERDI","21","","179","35.8","100%","0%","0.0","5.2","1.0","14.8","4.4","5.6","1.2","0.6","1.6","3.0","3.4","0.20","0.4","0.0"
"*04jwd*","Royce ONeale","PHO","F,Flx","61","BLIZZ","32","","177.5","35.5","50%","+20.5%","3.8","0.4","0.4","13.0","1.8","4.0","3.4","1.6","0.2","2.0","3.2","0.00","0.2","0.0"
"*051oj*","RJ Barrett","TOR","G,F,Flx","62","HLK","25","","176.5","35.3","99%","0%","1.6","2.4","0.6","19.2","0.4","4.0","3.2","1.4","0.4","2.2","3.0","0.00","0.0","0.0"
"*05uih*","Jonathan Kuminga","GS","F,C,Flx","63","Otako","23","@MIL Thu 9:00PM","175","35","97%","+0.7%","1.4","3.2","1.0","16.2","2.2","5.2","3.4","0.8","0.2","2.4","2.8","0.00","0.2","0.0"
"*05uj4*","Santi Aldama","MEM","F,C,Flx","64","ANT","24","","173.5","34.7","88%","-4.3%","1.2","0.2","1.0","11.0","2.0","5.6","2.4","1.6","0.8","1.2","1.6","0.20","0.2","0.0"
"*06v5v*","Cedric Coward","MEM","G,F,Flx","66","KNTC","22","","173.5","34.7","77%","+0.6%","2.2","2.6","0.2","16.0","1.0","2.8","2.0","1.0","0.6","0.8","2.4","0.00","0.0","0.0"
"*06mlk*","Ajay Mitchell","OKC","G,F,Flx","67","FA","23","WAS Thu 9:00PM","173.5","34.7","75%","+3.9%","1.6","2.6","0.0","18.2","1.2","2.6","3.0","1.2","0.2","1.4","3.0","0.00","0.0","0.0"
"*04qry*","Grayson Allen","PHO","G,Flx","65","SAN","30","","173.5","34.7","72%","+2.6%","3.4","2.6","0.4","16.8","0.6","2.4","5.2","0.8","0.2","2.4","3.0","0.20","0.0","0.0"
"*03al0*","Aaron Gordon","DEN","F,Flx","68","KNTC","30","","171.5","42.88","97%","-0.3%","3.0","4.8","0.0","21.3","0.3","5.3","2.3","0.8","0.3","1.5","1.5","0.00","0.0","0.0"
"*04ewm*","Jarrett Allen","CLE","C,Flx","69","RATS","27","","169.5","33.9","100%","-0.2%","0.0","4.8","1.2","14.0","1.6","5.4","1.8","1.4","0.4","1.6","1.6","0.00","0.0","0.0"
"*04ewf*","Bam Adebayo","MIA","F,C,Flx","70","OLS","28","@SA Thu 9:30PM","168","42","100%","0%","2.3","5.3","0.5","21.0","1.5","7.5","2.8","0.5","0.0","3.0","2.0","0.00","0.5","0.0"
"*05uiu*","Jalen Johnson","ATL","F,Flx","71","ANT","23","","167","41.75","100%","0%","0.3","3.8","0.5","20.5","2.0","5.0","4.3","1.5","0.3","2.3","3.0","0.00","0.0","0.0"
"*04qrj*","Jaren Jackson","MEM","F,C,Flx","72","FAV","26","","166.5","33.3","99%","-0.1%","1.2","4.0","0.8","17.6","0.6","4.6","1.2","1.0","1.6","2.4","4.0","0.00","0.0","0.0"
"*05qtq*","Tre Jones","CHI","G,Flx","73","FA","25","","164","41","74%","+7.8%","1.3","2.3","0.8","12.5","0.8","2.8","7.5","3.0","0.3","2.5","2.0","0.00","0.0","0.0"
"*03r7z*","Norman Powell","MIA","G,F,Flx","74","MEME","32","@SA Thu 9:30PM","163.5","54.5","99%","+0.2%","3.0","7.0","0.7","24.0","1.0","6.3","3.0","2.0","0.3","2.0","3.0","0.00","0.0","0.0"
"*06227*","Ryan Rollins","MIL","G,Flx","75","FA","23","GS Thu 9:00PM","163.5","40.88","69%","+16.3%","1.8","3.5","0.0","15.3","1.5","2.3","4.3","3.0","0.3","2.3","2.5","0.00","0.0","0.0"
"*027p4*","Tobias Harris","DET","F,Flx","76","ANT","33","","163","32.6","94%","-0.9%","1.4","2.6","0.0","14.0","1.0","5.0","3.2","1.0","0.2","1.4","3.0","0.20","0.0","0.0"
"*051os*","P.J. Washington","DAL","F,C,Flx","77","MÃE","27","","161.5","32.3","92%","+0.8%","1.4","2.6","1.8","15.2","1.4","6.8","2.4","0.8","1.0","3.2","2.8","0.00","0.0","0.0"
"*04ewn*","OG Anunoby","NY","F,Flx","78","Otako","28","","160","40","98%","-0.2%","2.8","2.0","0.8","14.3","1.5","5.5","2.3","2.3","0.8","2.3","2.8","0.00","0.3","0.0"
"*06cd4*","Toumani Camara","POR","F,Flx","79","KOW","25","","159.5","31.9","96%","-0.8%","1.6","1.4","0.2","11.0","2.4","2.8","3.8","1.2","0.2","1.0","2.8","0.00","0.0","0.0"
"*04ex6*","Isaiah Hartenstein","OKC","C,Flx","80","KOW","27","WAS Thu 9:00PM","158.5","31.7","98%","0%","0.0","0.6","0.8","9.0","3.0","8.6","2.4","1.2","0.4","1.6","3.4","0.00","0.4","0.0"
"*049kc*","Malik Monk","SAC","G,Flx","81","PERDI","27","","158.5","31.7","94%","-0.4%","2.6","1.4","0.2","15.6","0.0","1.2","2.4","1.2","0.8","1.0","2.0","0.00","0.0","0.0"
"*06cc7*","Brandin Podziemski","GS","G,F,Flx","82","MEME","22","@MIL Thu 9:00PM","155.5","31.1","90%","-3.5%","2.2","1.2","0.8","12.2","1.0","3.8","2.6","1.2","0.2","1.0","1.8","0.00","0.0","0.0"
"*031m4*","Dennis Schroder","SAC","G,Flx","83","FAV","32","","155","31","87%","+1.7%","1.4","0.2","0.0","12.4","0.4","2.6","6.4","1.6","0.4","2.6","2.4","0.00","0.2","0.0"
"*05ujd*","Neemias Queta","BOS","C,Flx","84","SFC","26","","154.5","30.9","78%","-0.9%","0.0","1.8","0.8","9.0","3.8","5.2","1.4","1.0","1.6","1.6","3.6","0.00","0.2","0.0"
"*06212*","Jabari Smith","HOU","F,Flx","85","KNTC","22","","153.5","38.38","92%","-1.2%","2.5","2.3","0.3","15.8","1.3","3.8","1.8","1.5","0.5","0.5","2.3","0.25","0.0","0.0"
"*05ujt*","Aaron Wiggins","OKC","G,F,Flx","86","AQUA","26","WAS Thu 9:00PM","153","30.6","56%","+2.6%","2.6","0.8","0.0","14.2","1.6","3.2","2.4","0.2","0.8","1.4","2.2","0.00","0.0","0.0"
"*06v5l*","Cooper Flagg","DAL","G,F,Flx","87","SFC","18","","152","30.4","100%","0%","0.8","2.6","0.0","13.4","0.6","5.6","2.8","0.8","0.6","2.0","2.6","0.00","0.4","0.0"
"*042n7*","Domantas Sabonis","SAC","C,Flx","88","HLK","29","","151","37.75","100%","-0.1%","0.5","0.5","0.8","12.5","3.5","10.3","3.3","1.3","0.3","2.8","4.0","0.00","1.0","0.0"
"*02nfz*","Draymond Green","GS","F,C,Flx","89","PERDI","35","@MIL Thu 9:00PM","150.5","30.1","96%","-0.1%","1.8","0.8","1.0","9.4","0.6","5.2","7.2","1.0","0.6","2.8","4.0","0.40","0.0","0.0"
"*049kd*","Deandre Ayton","LAL","C,Flx","90","VITAO","27","","149.5","29.9","99%","-0.4%","0.0","0.8","1.2","16.0","3.2","6.2","1.4","0.6","1.0","2.8","3.4","0.00","0.4","0.0"
"*005kc*","Russell Westbrook","SAC","G,Flx","91","SAN","36","","149.5","29.9","62%","+5.9%","2.0","1.4","1.2","11.8","1.4","3.4","3.8","1.2","0.2","2.0","1.8","0.00","0.0","0.0"
"*04qru*","Donte DiVincenzo","MIN","G,Flx","92","SFC","28","","148.5","29.7","89%","-1%","2.6","2.4","0.4","12.6","0.4","2.2","3.8","1.4","0.4","2.2","2.6","0.00","0.0","0.0"
"*06cbx*","Jaime Jaquez","MIA","G,F,Flx","93","FA","24","@SA Thu 9:30PM","148.5","37.12","78%","+7.8%","0.5","2.8","0.5","18.8","1.3","5.0","4.3","1.3","0.0","2.3","2.3","0.00","0.3","0.0"
"*051oh*","Zion Williamson","NO","F,Flx","94","PERDI","25","","147.5","49.17","100%","0%","0.0","7.0","3.7","21.7","3.3","3.0","4.7","3.0","0.3","3.3","2.0","0.00","0.3","0.0"
"*0621e*","Mark Williams","PHO","C,Flx","96","FAV","23","","147","36.75","97%","-1.2%","0.0","2.3","0.5","13.3","3.5","6.5","0.3","1.5","0.8","0.8","3.3","0.00","0.5","0.0"
"*05qub*","Isaiah Stewart","DET","C,Flx","95","RATS","24","","147","29.4","55%","-4.9%","1.4","1.0","1.0","9.2","2.6","4.0","1.4","0.4","2.0","1.0","4.0","0.00","0.2","0.0"
"*05uiz*","Quentin Grimes","PHI","G,F,Flx","97","BLIZZ","25","","146.5","36.62","85%","+2.6%","3.3","4.5","0.8","17.8","0.5","4.5","3.8","0.8","0.5","2.8","3.8","0.00","0.0","0.0"
"*05uir*","Trey Murphy","NO","G,F,Flx","98","SAN","25","","142.5","35.62","100%","-0.1%","1.3","2.5","0.3","12.8","1.5","5.8","3.3","1.0","0.0","0.8","2.3","0.00","0.3","0.0"
"*05qt3*","Desmond Bane","ORL","G,F,Flx","99","VITAO","27","@CHA Thu 8:00PM","141","28.2","100%","0%","1.4","3.0","0.2","17.6","1.6","3.2","2.8","0.2","0.4","2.4","3.6","0.20","0.0","0.0"
"*06216*","Shaedon Sharpe","POR","G,F,Flx","100","VIVA","22","","139","27.8","98%","-0.8%","1.8","3.6","0.0","17.0","1.2","3.2","1.6","1.6","0.0","3.6","2.4","0.00","0.0","0.0"
"*031lv*","Kentavious Caldwell-Pope","MEM","G,F,Flx","101","MÃE","32","","137","27.4","40%","-6.2%","1.4","2.6","0.2","10.0","0.0","3.0","4.6","0.8","0.2","1.4","1.4","0.00","0.0","0.0"
"*04qs1*","Anfernee Simons","BOS","G,Flx","102","PERDI","26","","136","27.2","96%","-2.5%","3.0","1.0","0.2","14.8","0.6","1.8","1.6","1.0","0.2","1.4","2.2","0.00","0.0","0.0"
"*06cab*","Jarace Walker","IND","F,Flx","103","VIVA","22","","136","34","43%","+6%","2.0","1.5","0.3","11.0","0.8","5.3","4.0","1.0","0.8","1.5","2.3","0.00","0.0","0.0"
"*051pb*","Nicolas Claxton","BKN","C,Flx","104","VITAO","26","","134.5","26.9","94%","-2.1%","0.0","1.0","0.6","12.2","3.0","3.4","2.4","0.8","0.2","1.0","3.2","0.00","0.2","0.0"
"*04qrm*","Collin Sexton","CHA","G,Flx","106","VIVA","26","ORL Thu 8:00PM","134.5","33.62","94%","+0.4%","1.5","4.5","1.0","18.5","0.3","2.3","4.8","1.0","0.0","2.3","2.5","0.00","0.0","0.0"
"*03ad4*","DAngelo Russell","DAL","G,Flx","105","HLK","29","","134.5","26.9","87%","-8.2%","0.8","3.2","1.4","10.8","0.4","2.2","5.4","0.8","0.2","1.8","1.2","0.20","0.0","0.0"
"*04qrl*","Wendell Carter","ORL","C,Flx","107","MÃE","26","@CHA Thu 8:00PM","132","26.4","80%","+1%","0.8","3.4","1.6","9.0","3.6","4.6","1.4","1.0","0.6","2.0","4.4","0.00","0.2","0.0"
"*0527h*","Naz Reid","MIN","F,C,Flx","109","MEME","26","","131.5","26.3","97%","-1.4%","1.0","1.4","1.0","10.0","1.8","4.2","1.6","1.0","1.0","1.8","2.6","0.00","0.2","0.0"
"*051op*","Rui Hachimura","LAL","F,Flx","108","Otako","27","","131.5","26.3","69%","-2.4%","1.6","1.8","0.6","16.6","0.8","3.2","2.0","0.4","0.2","1.8","2.4","0.00","0.0","0.0"
"*03el5*","Kristaps Porzingis","ATL","C,Flx","111","MÃE","30","","130.5","43.5","99%","-0.2%","3.0","2.7","0.3","20.3","1.7","3.3","3.7","0.7","1.0","1.3","3.7","0.00","0.0","0.0"
"*05qtb*","Sam Merrill","CLE","G,Flx","110","FA","29","","130.5","32.62","48%","-3.7%","4.5","2.3","0.0","17.3","0.8","1.3","2.0","0.8","0.3","1.3","3.5","0.00","0.0","0.0"
"*031lz*","Steven Adams","HOU","C,Flx","112","FA","32","","129","32.25","42%","-1.6%","0.0","2.8","0.3","7.8","6.0","4.8","1.5","1.0","0.5","1.5","2.5","0.00","0.5","0.0"
"*03ad2*","Myles Turner","MIL","C,Flx","113","KNTC","29","GS Thu 9:00PM","128.5","32.12","100%","-0.3%","1.3","1.0","0.5","8.3","1.0","5.8","3.0","0.5","2.5","1.8","2.8","0.00","0.0","0.0"
"*042nt*","Ivica Zubac","LAC","C,Flx","116","MEME","28","","128","32","100%","0%","0.0","1.5","0.3","15.5","2.5","5.5","2.8","0.0","1.0","2.3","1.3","0.00","0.3","0.0"
"*05qtr*","Devin Vassell","SA","G,F,Flx","115","VITAO","25","MIA Thu 9:30PM","128","32","96%","-0.3%","3.3","1.0","0.5","16.8","0.5","3.0","2.8","1.5","0.0","2.3","2.3","0.00","0.0","0.0"
"*06228*","Josh Minott","BOS","F,Flx","114","FA","22","","128","32","51%","+25.7%","1.0","1.5","0.3","9.5","2.3","4.5","1.5","1.8","0.5","0.5","3.0","0.00","0.3","0.0"
"*05uug*","Sam Hauser","BOS","F,Flx","117","FA","27","","127.5","25.5","52%","-8.6%","4.0","0.4","0.0","12.8","0.4","2.6","0.8","0.4","0.4","1.2","1.6","0.00","0.0","0.0"
"*02xg9*","Rudy Gobert","MIN","C,Flx","118","AQUA","33","","127","25.4","98%","-0.7%","0.0","1.8","1.6","8.6","3.2","5.2","1.2","0.2","1.4","1.2","3.6","0.20","0.2","0.0"
"*031lx*","CJ McCollum","WAS","G,Flx","119","SAN","34","@OKC Thu 9:00PM","127","31.75","95%","-1.8%","1.8","2.5","0.8","13.3","1.0","2.8","5.0","0.5","0.0","1.0","2.3","0.00","0.0","0.0"
"*04qrw*","Kevin Huerter","CHI","G,Flx","120","SAN","27","","126.5","31.62","44%","+0.8%","1.5","3.3","0.5","14.8","0.8","3.3","3.0","0.5","0.8","1.3","2.8","0.00","0.0","0.0"
"*051ps*","Terance Mann","BKN","G,F,Flx","121","FA","29","","124.5","24.9","24%","+3.6%","1.4","1.0","0.2","11.2","2.0","1.8","2.4","1.0","0.0","0.6","3.4","0.20","0.0","0.0"
"*05qug*","Anthony Edwards","MIN","G,F,Flx","122","MÃE","24","","124","41.33","100%","-0.1%","3.0","4.7","1.0","25.7","0.3","3.7","2.0","0.0","0.7","2.0","1.3","0.00","0.0","0.0"
"*051p8*","Jordan Poole","NO","G,Flx","124","ANT","26","","123.5","30.88","98%","-0.6%","2.5","4.3","0.0","17.3","0.8","1.0","3.3","0.3","0.3","1.3","3.0","0.25","0.0","0.0"
"*02ym0*","Andrew Wiggins","MIA","G,F,Flx","125","HLK","30","@SA Thu 9:30PM","123.5","30.88","93%","-1.5%","1.3","2.3","1.3","14.5","1.5","3.0","2.0","1.3","1.0","2.0","2.3","0.00","0.0","0.0"
"*06mkk*","Ryan Dunn","PHO","F,Flx","123","VIVA","22","","123.5","24.7","52%","-7.2%","0.8","0.0","0.4","8.0","2.2","3.8","1.8","0.6","1.2","0.8","3.2","0.00","0.0","0.0"
